title,ratings,imdb_rating,imdb_votes,value,metascore,language,short_plot,poster
Dick Johnson Is Dead,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",7.4,"7,464",,89.0,English,A daughter helps her father prepare for the end of his life.,https://m.media-amazon.com/images/M/MV5BOTQyN2E1NDMtN2MyNy00YjI2LTliYTctZDU2OTA4YTQ1NTU5XkEyXkFqcGc@._V1_SX300.jpg
Blood & Water,[],,,,,,,https://m.media-amazon.com/images/M/MV5BNGE5YWQ1OWYtN2U2ZS00ODRmLWJlNTUtN2U0NGExODQ3ZTE5XkEyXkFqcGdeQXVyMTMxNDU2Njg1._V1_SX300.jpg
Ganglands,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,"4,880",,,French,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",https://m.media-amazon.com/images/M/MV5BYWJkOWM3NDQtYmQ0Mi00MzliLTg4YzctNDk2ZjY4NDQwYTRmXkEyXkFqcGc@._V1_SX300.jpg
Jailbirds New Orleans,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",6.5,332,,,English,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",https://m.media-amazon.com/images/M/MV5BNTI0OGJjMGItZjNmMC00NWQ5LTk5M2QtNjIwZmI3ZGE1OWYzXkEyXkFqcGc@._V1_SX300.jpg
Kota Factory,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,,,,English,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",https://m.media-amazon.com/images/M/MV5BNTI0OGJjMGItZjNmMC00NWQ5LTk5M2QtNjIwZmI3ZGE1OWYzXkEyXkFqcGc@._V1_SX300.jpg
Midnight Mass,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",7.7,"158,628",,,English,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.",https://m.media-amazon.com/images/M/MV5BYWFjMDM5MzgtZWI3OC00ZWRmLThlNTktN2ZkMTc3ZTA5NGEzXkEyXkFqcGc@._V1_SX300.jpg
My Little Pony: A New Generation,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",6.8,"4,943",,,English,"After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",https://m.media-amazon.com/images/M/MV5BYzY1NDc3ODctZWJkOC00MzhmLTk3NjctZTk5ZThmNjUxMWEyXkEyXkFqcGc@._V1_SX300.jpg
Sankofa,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",7.0,857,,93.0,"Akan, English","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...",https://m.media-amazon.com/images/M/MV5BYWVlYjZlYmQtMmEyNC00NjM3LWI3ZGUtY2E0N2M2OTYyYzA2XkEyXkFqcGc@._V1_SX300.jpg
The Great British Baking Show,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",,,,93.0,"Akan, English","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...",https://m.media-amazon.com/images/M/MV5BYWVlYjZlYmQtMmEyNC00NjM3LWI3ZGUtY2E0N2M2OTYyYzA2XkEyXkFqcGc@._V1_SX300.jpg
The Starling,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",6.4,"16,060",,31.0,"English, Spanish","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...",https://m.media-amazon.com/images/M/MV5BYmYwMzcxODYtZjA1Yy00NTM5LWJmNDUtMzE4YzVjNzFhY2Y4XkEyXkFqcGc@._V1_SX300.jpg
"Vendetta: Truth, Lies and The Mafia","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",,,,31.0,"English, Spanish","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...",https://m.media-amazon.com/images/M/MV5BYmYwMzcxODYtZjA1Yy00NTM5LWJmNDUtMzE4YzVjNzFhY2Y4XkEyXkFqcGc@._V1_SX300.jpg
Bangkok Breaking,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",5.8,446,,,Thai,"Newly arrived in Bangkok, Wanchai joins the road rescue service and unravels a city-wide conspiracy with the help of a journalist.",https://m.media-amazon.com/images/M/MV5BZjdkODlhMTgtNGEzNi00YjdiLTk4ZjEtNjc4MjdkYTllYTExXkEyXkFqcGc@._V1_SX300.jpg
